Date,Open,High,Low,Close,Adj Close,Volume
2012-08-01,38.139999,38.279999,36.430000,36.639999,24.878630,480850300
2012-09-01,36.580002,38.580002,36.540001,37.700001,25.598362,503306500
2012-10-01,37.630001,38.430000,33.000000,34.590000,23.486668,555546200
2012-11-01,34.840000,35.380001,32.709999,34.130001,23.443371,579795500
2012-12-01,34.230000,34.689999,33.099998,33.709999,23.154879,489829700
2013-01-01,34.389999,35.500000,32.759998,34.790001,23.896717,587300900
2013-02-01,35.160000,36.250000,35.000000,35.910000,24.983707,462409500
2013-03-01,35.689999,36.869999,35.630001,36.689999,25.526373,463199400
2013-04-01,36.709999,39.000000,36.630001,37.459999,26.062092,675237900
2013-05-01,37.459999,37.970001,34.980000,34.990002,24.635216,453516300
2013-06-01,34.990002,36.389999,34.099998,35.400002,24.923883,646004600
2013-07-01,35.400002,36.310001,34.930000,35.270000,24.832350,416285700
2013-08-01,35.650002,35.849998,33.189999,33.830002,24.121447,413327000
2013-09-01,34.009998,35.009998,33.209999,33.820000,24.114319,417438100
2013-10-01,33.790001,36.490002,33.090000,36.200001,25.811304,669464500
2013-11-01,36.500000,36.799999,34.560001,35.209999,25.442152,394306900
2013-12-01,35.180000,35.299999,33.599998,35.160000,25.406019,434511200
