,日期,前收盘价,开盘价,收盘价,最高价,最低价,HO,OL,HCY,CYL,涨跌幅,AR,BR,MA5,MA10,MA20,MA60,MA120,MA250,5日涨跌幅,10日涨跌幅,20日涨跌幅,60日涨跌幅,120日涨跌幅,250日涨跌幅
221,2001-12-05,,,,,,,,,,,,,,,,,,,,,,,,
222,2001-12-06,,,,,,,,,,,,,,,,,,,,,,,,
223,2001-12-07,,,,,,,,,,,,,,,,,,,,,,,,
224,2001-12-10,,,,,,,,,,,,,,,,,,,,,,,,
225,2001-12-11,,,,,,,,,,,,,,,,,,,,,,,,
226,2001-12-12,,,,,,,,,,,,,,,,,,,,,,,,
227,2001-12-13,,,,,,,,,,,,,,,,,,,,,,,,
228,2001-12-14,,,,,,,,,,,,,,,,,,,,,,,,
229,2001-12-17,,,,,,,,,,,,,,,,,,,,,,,,
230,2001-12-18,,,,,,,,,,,,,,,,,,,,,,,,
231,2001-12-19,,,,,,,,,,,,,,,,,,,,,,,,
232,2001-12-20,,,,,,,,,,,,,,,,,,,,,,,,
233,2001-12-21,,,,,,,,,,,,,,,,,,,,,,,,
234,2001-12-24,,,,,,,,,,,,,,,,,,,,,,,,
235,2001-12-25,,,,,,,,,,,,,,,,,,,,,,,,
236,2001-12-26,,,,,,,,,,,,,,,,,,,,,,,,
237,2001-12-27,,,,,,,,,,,,,,,,,,,,,,,,
238,2001-12-28,,,,,,,,,,,,,,,,,,,,,,,,
239,2001-12-31,,,,,,,,,,,,,,,,,,,,,,,,
240,2002-01-04,,,,,,,,,,,,,,,,,,,,,,,,
241,2002-01-07,,,,,,,,,,,,,,,,,,,,,,,,
242,2002-01-08,,,,,,,,,,,,,,,,,,,,,,,,
243,2002-01-09,,,,,,,,,,,,,,,,,,,,,,,,
244,2002-01-10,,,,,,,,,,,,,,,,,,,,,,,,
245,2002-01-11,,,,,,,,,,,,,,,,,,,,,,,,
246,2002-01-14,,,,,,,,,,,,,,,,,,,,,,,,
247,2002-01-15,,,,,,,,,,,,,,,,,,,,,,,,
248,2002-01-16,,,,,,,,,,,,,,,,,,,,,,,,
249,2002-01-17,,,,,,,,,,,,,,,,,,,,,,,,
250,2002-01-18,,,,,,,,,,,,,,,,,,,,,,,,
251,2002-01-21,,,,,,,,,,,,,,,,,,,,,,,,
252,2002-01-22,,,,,,,,,,,,,,,,,,,,,,,,
253,2002-01-23,,,,,,,,,,,,,,,,,,,,,,,,
254,2002-01-24,,,,,,,,,,,,,,,,,,,,,,,,
255,2002-01-25,,,,,,,,,,,,,,,,,,,,,,,,
256,2002-01-28,,,,,,,,,,,,,,,,,,,,,,,,
257,2002-01-29,,,,,,,,,,,,,,,,,,,,,,,,
258,2002-01-30,,,,,,,,,,,,,,,,,,,,,,,,
259,2002-01-31,,,,,,,,,,,,,,,,,,,,,,,,
260,2002-02-01,,,,,,,,,,,,,,,,,,,,,,,,
261,2002-02-04,,,,,,,,,,,,,,,,,,,,,,,,
262,2002-02-05,,,,,,,,,,,,,,,,,,,,,,,,
263,2002-02-06,,,,,,,,,,,,,,,,,,,,,,,,
264,2002-02-07,,,,,,,,,,,,,,,,,,,,,,,,
265,2002-02-08,,,,,,,,,,,,,,,,,,,,,,,,
266,2002-02-25,,,,,,,,,,,,,,,,,,,,,,,,
267,2002-02-26,,,,,,,,,,,,,,,,,,,,,,,,
