,日期,前收盘价,开盘价,收盘价,最高价,最低价,HO,OL,HCY,CYL,涨跌幅,AR,BR,MA5,MA10,MA20,MA60,MA120,MA250,5日涨跌幅,10日涨跌幅,20日涨跌幅,60日涨跌幅,120日涨跌幅,250日涨跌幅
3761,2016-07-14,6446.5634,6437.277,6455.5827,6458.288,6410.3989,21.010999999999513,26.878099999999904,11.724599999999555,36.16449999999986,0.0013990865272495157,132.04956978019456,95.57868024870709,6381.928600000008,6313.975669999991,6164.625330000013,5989.163601666671,5940.921624999999,6613.81811400001,0.021486480426588628,0.054231914887675314,0.08853103122690875,0.027762248196300687,0.09533959376664658,-0.04553003660235644
3762,2016-07-15,6455.5827,6459.6255,6441.0159,6469.0454,6409.7969,9.41989999999987,49.828599999999824,13.46270000000004,45.785799999999654,-0.002256465554999365,131.23244246240003,96.21707826576174,6410.161120000009,6346.92340999999,6188.462505000012,5991.37671666667,5944.772527499998,6613.17268360001,0.022407283674367617,0.05391071331711328,0.07993322035391959,0.02104979067817614,0.0772897544026272,-0.024439332309812434
3763,2016-07-18,6441.0159,6426.8558,6412.0731,6455.459,6379.0647,28.60319999999956,47.79110000000037,14.443099999999504,61.951200000000426,-0.004493514757509143,133.72391883856756,97.04931898875387,6430.075980000009,6364.942609999991,6209.7877050000125,5997.87439166667,5946.564014166665,6611.2355696000095,0.015774149533303472,0.02891454395688009,0.07125537987691088,0.06473708683084345,0.03469019119556127,-0.07022242021418978
3764,2016-07-19,6412.0731,6407.0339,6431.9383,6431.9383,6355.4787,24.90439999999944,51.555200000000696,19.865200000000186,56.59439999999995,0.003098093189237039,149.96774000457745,119.11139389350845,6437.4346800000085,6381.185979999991,6235.544460000013,6005.56199666667,5949.0093074999995,6607.984186000009,0.005753349009392172,0.02590853829184514,0.08706307825144499,0.07725353653066769,0.04780240316242579,-0.11219739298790987
3765,2016-07-20,6431.9383,6429.689,6417.9223,6454.179,6404.1539,24.48999999999978,25.535100000000057,22.240700000000288,27.78439999999955,-0.002179125381224445,146.80943213221366,120.0736017167565,6431.7064600000085,6393.238519999991,6255.996290000013,6012.338700000003,5953.434630833332,6602.873334800009,-0.00444284779701376,0.01913892389409355,0.0680719555041629,0.0676394191685119,0.09020711892803734,-0.16603084519950795
3766,2016-07-21,6417.9223,6414.8007,6442.7093,6487.0216,6405.6019,72.22090000000026,9.19880000000012,69.09929999999986,12.320400000000518,0.003862153332707008,127.9296786756708,113.72350974810148,6429.131780000009,6405.530189999991,6279.223070000013,6020.082568333336,5957.285449166666,6597.2079424000085,-0.001994149962636138,0.019449483199812656,0.07770526975487524,0.07772266641186909,0.07726605062148262,-0.1802185717589999
3767,2016-07-22,6442.7093,6437.8833,6390.9254,6448.3659,6385.2522,10.482599999999366,52.631100000000515,5.656599999999344,57.45710000000054,-0.008037596853857742,123.78290392403177,110.50301870965897,6419.1136800000095,6414.6373999999905,6303.588330000013,6025.818435000003,5960.198776666666,6593.150466000008,-0.007776801172001524,0.014456225512425869,0.08254345359140824,0.05691498212914681,0.05786797372186214,-0.13697890070408403
3768,2016-07-25,6390.9254,6383.5616,6408.7831,6441.3161,6374.2552,57.75450000000001,9.306400000000394,50.390699999999924,16.670200000000477,0.0027942275777463887,124.21533676882261,108.20140622284957,6418.455680000009,6424.265829999991,6321.816530000013,6032.353170000002,5967.027744999999,6588.470564400008,-0.0005130945871468784,0.015252961315414426,0.06031614572013111,0.06516598221051106,0.14661499442802106,-0.15437560122809035
3769,2016-07-26,6408.7831,6410.8227,6494.4743,6494.7395,6410.8227,83.91679999999997,0.0,85.95640000000003,-2.039600000000064,0.013370900319594314,136.68954332245488,118.99466836129784,6430.962880000009,6434.198779999991,6341.164720000013,6040.755600000002,5975.1967925,6582.4696732000075,0.009722730082780906,0.015532017351663319,0.06335867944885232,0.08415995884032079,0.17777514900378977,-0.18765223763136696
3770,2016-07-27,6494.4743,6499.3377,6229.2885,6515.8778,6154.4592,16.540100000000166,344.8784999999998,21.40350000000035,340.0150999999996,-0.04083252743028021,112.15985830298287,93.85991887134273,6393.23612000001,6412.471289999991,6346.619040000013,6044.817175000003,5983.180592499999,6574.920844800007,-0.029391723860539787,-0.03370398870194935,0.017823986564103667,0.04071350312099353,0.181751800930807,-0.23251501547046982
3771,2016-07-28,6229.2885,6220.9168,6243.2883,6273.3798,6148.8585,52.46299999999974,72.05829999999969,44.09130000000005,80.42999999999938,0.0022474155756311287,102.0205112589051,86.3948752170069,6353.35192000001,6391.241849999991,6352.608760000013,6046.0810850000025,5989.631949999999,6567.012147200007,-0.030952971911987426,-0.03288539700684179,0.01956307982931116,0.012295933409277149,0.14155149925799848,-0.24051862676780955
3772,2016-07-29,6243.2883,6239.8538,6202.8923,6259.1994,6183.1647,19.34560000000056,56.6890999999996,15.91110000000026,60.1235999999999,-0.006470308282896298,102.90527563110108,88.03713956691054,6315.74530000001,6367.429489999991,6357.176450000014,6046.632913333337,5996.327076666666,6558.542770800007,-0.029421889355804365,-0.03696988234418108,0.01494775824450767,0.005366428956508296,0.14879500090851394,-0.2544812428646859
