日期,收盘价,基差,指数,贴水率
2017-01-23,3352.0,-12.080800000000181,3364.0808,-0.003591114696175009
2017-01-24,3353.4,-11.050899999999729,3364.4509,-0.0032846073039733553
2017-01-25,3369.2,-6.704200000000128,3375.9042,-0.0019858975856009565
2017-01-26,3377.6,-10.360599999999977,3387.9606,-0.00305806389838181
2017-02-03,3357.0,-7.4922999999998865,3364.4923,-0.0022268738733626724
2017-02-06,3354.0,-19.20510000000013,3373.2051,-0.005693427891473343
2017-02-07,3349.0,-16.684900000000198,3365.6849,-0.004957356524967681
2017-02-08,3369.4,-13.88779999999997,3383.2878,-0.004104823716149708
2017-02-09,3380.6,-15.692399999999907,3396.2924,-0.004620450229785841
2017-02-10,3402.0,-11.48680000000013,3413.4868,-0.003365122138453891
2017-02-13,3419.0,-17.27500000000009,3436.275,-0.005027246073146093
2017-02-14,3419.4,-16.404199999999946,3435.8042,-0.004774486276022349
2017-02-15,3410.2,-11.513100000000122,3421.7131,-0.0033647180998313746
2017-02-16,3432.4,-8.533100000000104,3440.9331,-0.0024798796582241323
2017-02-17,3427.0,5.558100000000195,3421.4419,0.001624490540084926
2017-02-20,3462.6,-8.79260000000022,3471.3926,-0.00253287398262018
2017-02-21,3459.2,-23.623000000000047,3482.823,-0.006782716204642053
2017-02-22,3467.0,-22.75669999999991,3489.7567,-0.006520999014057316
2017-02-23,3453.6,-19.72360000000026,3473.3236,-0.00567859556765752
2017-02-24,3453.0,-20.851700000000164,3473.8517,-0.0060024727019867205
2017-02-27,3426.6,-19.622800000000097,3446.2228,-0.005694002140546484
2017-02-28,3429.4,-23.410300000000007,3452.8103,-0.006780071294388807
2017-03-01,3435.2,-23.237600000000384,3458.4376,-0.006719103447175217
2017-03-02,3418.0,-17.096300000000156,3435.0963,-0.004976949263402064
2017-03-03,3405.0,-22.86279999999988,3427.8628,-0.006669695181499061
2017-03-06,3422.0,-24.483999999999924,3446.484,-0.007104051549347081
2017-03-07,3432.6,-21.35649999999987,3453.9565,-0.006183198890895085
2017-03-08,3430.4,-18.33129999999983,3448.7313,-0.005315374961221197
2017-03-09,3403.8,-23.14379999999983,3426.9438,-0.00675348104628965
2017-03-10,3406.6,-21.291600000000017,3427.8916,-0.006211281593618659
2017-03-13,3452.8,-5.2979999999997744,3458.098,-0.001532056060875017
2017-03-14,3446.0,-10.69340000000011,3456.6934,-0.0030935344164455284
2017-03-15,3451.4,-12.243599999999788,3463.6436,-0.0035348902525651855
2017-03-16,3481.4,-0.1066000000000713,3481.5066,-3.0618928023882334e-05
2017-03-17,3464.0,18.19489999999996,3445.8051,0.005280304449024108
2017-03-20,3417.6,-32.01260000000002,3449.6126,-0.009280056548958577
2017-03-21,3435.0,-31.346799999999803,3466.3468,-0.009043180561160182
2017-03-22,3421.4,-28.65020000000004,3450.0502,-0.00830428496373764
2017-03-23,3433.8,-28.178199999999833,3461.9782,-0.008139334903957464
2017-03-24,3483.4,-6.199700000000121,3489.5997,-0.001776622115138341
2017-03-27,3461.0,-17.038500000000113,3478.0385,-0.004898881941646164
2017-03-28,3458.0,-11.809299999999894,3469.8093,-0.0034034435264208595
2017-03-29,3456.6,-8.5933,3465.1933,-0.002479890515775844
2017-03-30,3431.6,-5.157999999999902,3436.758,-0.0015008330525454227
2017-03-31,3450.4,-5.645500000000084,3456.0455,-0.0016335143735810432
2017-04-05,3507.2,3.306799999999839,3503.8932,0.0009437502261769392
2017-04-06,3504.0,-10.046899999999823,3514.0469,-0.0028590682725378037
2017-04-07,3510.6,-6.863400000000183,3517.4634,-0.0019512356546482284
2017-04-10,3501.6,-3.5392000000001644,3505.1392,-0.001009717388684639
2017-04-11,3505.0,-12.327999999999975,3517.328,-0.0035049332902703343
2017-04-12,3496.0,-13.438700000000154,3509.4387,-0.0038293018196898987
2017-04-13,3508.6,-5.966200000000299,3514.5662,-0.0016975636993266192
2017-04-14,3477.0,-9.504500000000007,3486.5045,-0.0027260828144636
2017-04-17,3472.4,-7.541699999999764,3479.9417,-0.002167191479098562
2017-04-18,3462.6,-0.14290000000028158,3462.7429,-4.126786311518582e-05
2017-04-19,3440.0,-5.876099999999951,3445.8761,-0.0017052557403326113
2017-04-20,3458.6,-2.9481000000000677,3461.5481,-0.0008516709619028745
2017-04-21,3457.6,-9.186500000000251,3466.7865,-0.0026498603245398156
2017-04-24,3408.2,-23.058700000000044,3431.2587,-0.006720186968123402
2017-04-25,3422.6,-18.37429999999995,3440.9743,-0.005339853889638161
2017-04-26,3427.8,-17.38319999999976,3445.1832,-0.005045653305171046
2017-04-27,3426.8,-19.920200000000023,3446.7202,-0.005779465359561249
2017-04-28,3420.4,-19.353000000000065,3439.753,-0.0056262760727296595
2017-05-02,3407.4,-19.17659999999978,3426.5766,-0.005596431143550032
2017-05-03,3396.8,-16.328199999999924,3413.1282,-0.004783939847322442
2017-05-04,3383.4,-20.986399999999776,3404.3864,-0.006164517635248389
2017-05-05,3360.4,-22.15020000000004,3382.5502,-0.0065483728815022586
2017-05-08,3339.4,-19.41249999999991,3358.8125,-0.005779572393517027
2017-05-09,3342.2,-10.332400000000234,3352.5324,-0.0030819687231062208
2017-05-10,3323.8,-13.900699999999688,3337.7007,-0.004164753298580574
2017-05-11,3341.4,-15.245899999999892,3356.6459,-0.0045420042668188184
2017-05-12,3367.2,-18.17870000000039,3385.3787,-0.0053697685284072915
2017-05-15,3386.6,-12.593699999999899,3399.1937,-0.003704908019804785
2017-05-16,3431.0,2.3508999999999105,3428.6491,0.0006856636335284093
2017-05-17,3411.0,1.034400000000005,3409.9656,0.0003033461686534331
2017-05-18,3392.4,-5.712700000000041,3398.1127,-0.0016811390628686449
2017-05-19,3398.6,-5.249200000000201,3403.8492,-0.0015421364730259497
2017-05-22,3382.2,-29.038700000000063,3411.2387,-0.008512655534776873
2017-05-23,3402.0,-22.19399999999996,3424.194,-0.00648152528741069
2017-05-24,3402.0,-22.16690000000017,3424.1669,-0.006473662250517102
2017-05-25,3486.0,0.34189999999989595,3485.6581,9.808764663404478e-05
2017-05-26,3480.6,0.16550000000006548,3480.4345,4.755153415473427e-05
2017-05-31,3482.0,-10.884500000000116,3492.8845,-0.0031161923619289775
2017-06-01,3489.0,-8.738199999999779,3497.7382,-0.002498243007438287
2017-06-02,3480.8,-5.7073999999997795,3486.5074,-0.0016369963821100107
2017-06-05,3456.6,-12.153800000000047,3468.7538,-0.0035037943598072736
2017-06-06,3484.6,-8.281600000000253,3492.8816,-0.002370993623144928
2017-06-07,3533.0,-0.8717999999998938,3533.8718,-0.00024669825317372683
2017-06-08,3559.8,-1.178599999999733,3560.9786,-0.0003309764343991657
2017-06-09,3578.6,2.4296999999996842,3576.1703,0.0006794139529651829
2017-06-12,3568.0,-6.389400000000023,3574.3894,-0.001787550063795518
2017-06-13,3576.2,-6.067400000000362,3582.2674,-0.0016937317409639384
2017-06-14,3532.0,-3.298699999999826,3535.2987,-0.0009330753296743572
2017-06-15,3524.0,-4.7926000000002205,3528.7926,-0.0013581415921129002
2017-06-16,3521.0,2.2388999999998305,3518.7611,0.0006362750798853126
2017-06-19,3530.0,-23.665300000000116,3553.6653,-0.0066594059941436
2017-06-20,3521.0,-25.494000000000142,3546.494,-0.007188507861566985
2017-06-21,3558.4,-29.554999999999836,3587.955,-0.008237282797582422
2017-06-22,3560.8,-29.542500000000018,3590.3425,-0.00822832362093589
2017-06-23,3597.4,-25.483099999999922,3622.8831,-0.007033928309748643
2017-06-26,3647.2,-20.891900000000078,3668.0919,-0.005695577038296145
2017-06-27,3650.4,-24.315200000000004,3674.7152,-0.006616893739139295
2017-06-28,3627.0,-19.166600000000017,3646.1666,-0.005256644060093144
2017-06-29,3649.0,-19.827900000000227,3668.8279,-0.005404423576259935
2017-06-30,3642.6,-24.197700000000168,3666.7977,-0.006599136898116895
2017-07-03,3625.8,-25.046299999999974,3650.8463,-0.006860409324818734
2017-07-04,3587.0,-32.984100000000126,3619.9841,-0.009111669855124536
2017-07-05,3640.8,-18.879500000000007,3659.6795,-0.005158785079403813
2017-07-06,3633.2,-26.896700000000237,3660.0967,-0.007348630980159687
2017-07-07,3627.2,-28.729299999999967,3655.9293,-0.007858275596303236
2017-07-10,3634.0,-19.68679999999995,3653.6868,-0.005388201309428041
2017-07-11,3661.8,-9.00859999999966,3670.8086,-0.002454118691995998
2017-07-12,3638.8,-20.023599999999988,3658.8236,-0.005472687997311482
2017-07-13,3679.2,-7.7205000000003565,3686.9205,-0.0020940239964491658
2017-07-14,3698.8,-4.293999999999869,3703.094,-0.0011595708885596392
2017-07-17,3649.8,-13.757499999999709,3663.5575,-0.0037552297186545344
2017-07-18,3650.0,-17.180699999999888,3667.1807,-0.004684988661725857
2017-07-19,3729.4,-0.346599999999853,3729.7466,-9.292856517379842e-05
2017-07-20,3747.2,-0.6843000000003485,3747.8843,-0.00018258301090040278
2017-07-21,3738.0,9.402399999999943,3728.5976,0.00252169877489594
2017-07-24,3733.0,-10.468600000000151,3743.4686,-0.002796497344735348
2017-07-25,3704.8,-14.759000000000015,3719.559,-0.0039679435115829624
2017-07-26,3684.0,-21.38839999999982,3705.3884,-0.0057722423916477476
2017-07-27,3690.6,-21.594700000000103,3712.1947,-0.005817232592891774
2017-07-28,3708.4,-13.491399999999885,3721.8914,-0.0036248773943269503
2017-07-31,3722.2,-15.673200000000179,3737.8732,-0.004193079636837381
2017-08-01,3748.8,-21.58279999999968,3770.3828,-0.005724299400050223
2017-08-02,3753.4,-7.452499999999873,3760.8525,-0.0019815985870224565
2017-08-03,3715.8,-12.02639999999974,3727.8264,-0.0032261158942379236
2017-08-04,3692.0,-15.579600000000028,3707.5796,-0.004202094541678897
2017-08-07,3715.0,-11.794800000000123,3726.7948,-0.0031648643493868036
2017-08-08,3717.4,-14.8128999999999,3732.2129,-0.0039689322117717075
2017-08-09,3715.0,-16.04399999999987,3731.044,-0.004300136905380872
2017-08-10,3701.0,-14.920799999999872,3715.9208,-0.004015370833522575
2017-08-11,3627.8,-19.55029999999988,3647.3503,-0.0053601377416366836
2017-08-14,3681.4,-13.283100000000104,3694.6831,-0.0035951933198276474
2017-08-15,3694.4,-11.656599999999798,3706.0566,-0.0031452838577802076
2017-08-16,3690.8,-10.620699999999943,3701.4207,-0.00286935770365145
2017-08-17,3719.0,-2.2770000000000437,3721.277,-0.0006118867259814422
2017-08-18,3725.2,0.5252000000000407,3724.6748,0.00014100559866328218
2017-08-21,3721.2,-19.79410000000007,3740.9941,-0.00529113371229323
2017-08-22,3732.6,-19.697999999999865,3752.298,-0.005249583055503552
2017-08-23,3741.6,-14.488400000000183,3756.0884,-0.0038573107065318756
2017-08-24,3724.0,-10.645799999999781,3734.6458,-0.0028505514498857647
2017-08-25,3794.8,-0.9543999999996231,3795.7544,-0.00025143881806463116
2017-08-28,3843.8,1.088100000000395,3842.7119,0.00028315940104705614
2017-08-29,3837.8,3.2624000000000706,3834.5376,0.0008507935872111596
2017-08-30,3834.2,-0.10050000000001091,3834.3005,-2.621077821104812e-05
2017-08-31,3829.6,7.507200000000012,3822.0928,0.001964159530611086
2017-09-01,3837.8,7.261700000000019,3830.5383,0.0018957387790640334
2017-09-04,3842.6,-3.0163000000002285,3845.6163,-0.0007843476219924043
2017-09-05,3854.2,-2.846400000000358,3857.0464,-0.0007379740103723817
2017-09-06,3846.6,-2.8499000000001615,3849.4499,-0.0007403395482560148
2017-09-07,3828.2,-1.6712999999999738,3829.8713,-0.00043638542109756374
2017-09-08,3820.8,-5.189499999999953,3825.9895,-0.001356381140094596
2017-09-11,3831.4,5.754699999999957,3825.6453,0.0015042429573907327
2017-09-12,3844.2,6.265899999999874,3837.9341,0.0016326231344097007
2017-09-13,3844.2,1.5938999999998487,3842.6061,0.00041479661420405507
2017-09-14,3830.4,0.4446000000002641,3829.9554,0.00011608490271199089
2017-09-15,3834.2,2.9034999999998945,3831.2965,0.0007578374578944476
2017-09-18,3854.8,11.657200000000103,3843.1428,0.0030332466438666036
2017-09-19,3823.8,-8.316100000000006,3832.1161,-0.0021701064850305567
2017-09-20,3845.4,2.9646999999999935,3842.4353,0.0007715679688868134
2017-09-21,3837.2,-0.6176000000000386,3837.8176,-0.00016092479225694275
2017-09-22,3829.4,-8.330399999999827,3837.7304,-0.0021706579492920676
2017-09-25,3801.4,-16.391499999999724,3817.7915,-0.004293450807881919
2017-09-26,3813.8,-6.981599999999617,3820.7816,-0.00182727010620016
2017-09-27,3819.8,-1.3999999999996362,3821.2,-0.000366377054328388
2017-09-28,3831.0,8.46140000000014,3822.5386,0.0022135551489264596
2017-09-29,3849.2,12.698699999999917,3836.5013,0.0033099689031774646
2017-10-09,3888.8,6.592399999999998,3882.2076,0.0016981059951559515
2017-10-10,3893.0,3.1363000000001193,3889.8637,0.0008062750373490257
2017-10-11,3902.2,-0.48680000000013024,3902.6868,-0.00012473458028969432
2017-10-12,3916.0,3.046400000000176,3912.9536,0.0007785423266966866
2017-10-13,3933.0,11.9983000000002,3921.0017,0.003060008874773046
2017-10-16,3918.0,4.5538000000001375,3913.4462,0.0011636291307646283
2017-10-17,3911.0,-2.06880000000001,3913.0688,-0.0005286899121221712
2017-10-18,3930.8,-13.36259999999993,3944.1626,-0.0033879434889423497
2017-10-19,3922.6,-8.649499999999989,3931.2495,-0.0022001910588478266
2017-10-20,3924.4,-2.451999999999771,3926.852,-0.0006244187456007435
