,日期,收盘价,基差,指数,贴水率
1978,2018-02-26,2977.6,3.8144999999999527,2973.7855,0.0012827085208398361
1979,2018-02-27,2920.0,-7.096799999999803,2927.0968,-0.0024245183828562836
1980,2018-02-28,2869.0,-9.666600000000017,2878.6666,-0.003358013046734907
1981,2018-03-01,2889.2,-2.098200000000361,2891.2982,-0.0007256947761390924
1982,2018-03-02,2864.2,0.016599999999925785,2864.1834,5.795718249021968e-06
1983,2018-03-05,2855.8,-8.190899999999601,2863.9909,-0.002859960204482354
1984,2018-03-06,2900.0,7.524800000000141,2892.4752,0.0026015089083564627
1985,2018-03-07,2875.0,-3.1505999999999403,2878.1506,-0.0010946612731105663
1986,2018-03-08,2898.8,0.5458000000003267,2898.2542,0.00018832026535157845
1987,2018-03-09,2907.4,-0.7973999999999251,2908.1974,-0.0002741904658878813
1988,2018-03-12,2910.4,0.8207000000002154,2909.5793,0.00028206827014483343
1989,2018-03-13,2867.0,-16.377100000000155,2883.3771,-0.005679832859878145
1990,2018-03-14,2856.4,-14.933999999999742,2871.334,-0.005201066821205663
1991,2018-03-15,2890.8,-4.182800000000043,2894.9828,-0.0014448445082299083
1992,2018-03-16,2864.0,-6.731800000000021,2870.7318,-0.0023449769846141744
1993,2018-03-19,2893.8,-3.4557999999997264,2897.2558,-0.0011927838750032795
1994,2018-03-20,2894.2,-10.197200000000066,2904.3972,-0.0035109522898589996
1995,2018-03-21,2875.0,-19.183500000000095,2894.1835,-0.006628294301311611
1996,2018-03-22,2850.6,-16.070200000000114,2866.6702,-0.005605876811361179
1997,2018-03-23,2718.8,-72.66739999999982,2791.4674,-0.026031971571654326
1998,2018-03-26,2712.2,-26.66800000000012,2738.868,-0.009736869392756467
1999,2018-03-27,2727.0,-20.58719999999994,2747.5872,-0.007492828617049876
2000,2018-03-28,2657.2,-37.6259,2694.8259,-0.013962274891301885
2001,2018-03-29,2722.2,-16.590599999999995,2738.7906,-0.006057637265149076
2002,2018-03-30,2702.4,-19.7529999999997,2722.153,-0.007256388601228404
2003,2018-04-02,2687.0,-24.37350000000015,2711.3735,-0.008989355394968692
2004,2018-04-03,2690.0,-7.2719999999999345,2697.272,-0.002696057349796363
2005,2018-04-04,2685.8,-16.56919999999991,2702.3692,-0.006131360585370759
2006,2018-04-09,2704.0,-11.731800000000021,2715.7318,-0.004319940577342734
2007,2018-04-10,2771.6,-9.203600000000279,2780.8036,-0.003309690767086276
2008,2018-04-11,2766.0,-19.338600000000042,2785.3386,-0.006942997881837433
2009,2018-04-12,2734.6,-15.09860000000026,2749.6986,-0.0054910018137988865
2010,2018-04-13,2704.6,-21.795599999999922,2726.3956,-0.007994291070598824
2011,2018-04-16,2642.2,-22.504500000000007,2664.7045,-0.00844540173216205
2012,2018-04-17,2617.0,-18.703199999999924,2635.7032,-0.007096094886556242
2013,2018-04-18,2630.2,-23.569100000000162,2653.7691,-0.008881368013517138
2014,2018-04-19,2675.0,-7.551800000000185,2682.5518,-0.0028151553308309587
2015,2018-04-20,2623.6,-23.776299999999992,2647.3763,-0.008981080626883301
2016,2018-04-23,2631.0,-33.91750000000002,2664.9175,-0.012727410886078094
2017,2018-04-24,2693.4,-29.447400000000016,2722.8474,-0.010814928519314015
2018,2018-04-25,2673.8,-29.180199999999786,2702.9802,-0.010795565576099961
2019,2018-04-26,2630.0,-36.02390000000014,2666.0239,-0.013512219451596115
2020,2018-04-27,2621.2,-32.34360000000015,2653.5436,-0.01218883307589148
2021,2018-05-02,2631.4,-21.33109999999988,2652.7311,-0.00804118442310262
2022,2018-05-03,2630.0,-33.97519999999986,2663.9752,-0.012753572180401627
2023,2018-05-04,2611.0,-35.35480000000007,2646.3548,-0.013359811012491623
2024,2018-05-07,2649.2,-34.64870000000019,2683.8487,-0.012910079469084897
2025,2018-05-08,2688.0,-34.88000000000011,2722.88,-0.01280996591843934
2026,2018-05-09,2681.0,-36.239300000000185,2717.2393,-0.013336808429055248
2027,2018-05-10,2699.0,-30.40009999999984,2729.4001,-0.01113801527302642
2028,2018-05-11,2694.2,-30.516200000000026,2724.7162,-0.011199771924870571
2029,2018-05-14,2722.6,-30.935300000000097,2753.5353,-0.011234757004931114
2030,2018-05-15,2716.6,-34.23090000000002,2750.8309,-0.012443840150261516
2031,2018-05-16,2681.4,-35.38180000000011,2716.7818,-0.013023423522639951
2032,2018-05-17,2665.0,-35.8768,2700.8768,-0.013283390045780689
2033,2018-05-18,2715.0,-25.534700000000157,2740.5347,-0.009317415320448288
2034,2018-05-21,2713.8,-32.00409999999965,2745.8041,-0.011655638506767346
2035,2018-05-22,2698.6,-29.40039999999999,2728.0004,-0.010777271147027688
2036,2018-05-23,2648.8,-34.89339999999993,2683.6934,-0.013002006861141413
2037,2018-05-24,2632.8,-32.8757999999998,2665.6758,-0.01233300763731276
2038,2018-05-25,2631.0,-30.291099999999915,2661.2911,-0.011382106978075384
2039,2018-05-28,2649.6,-23.598500000000058,2673.1985,-0.008827814320560205
2040,2018-05-29,2630.6,-32.80340000000024,2663.4034,-0.012316346821514246
2041,2018-05-30,2575.4,-30.500500000000102,2605.9005,-0.011704399304578245
2042,2018-05-31,2621.8,-36.49170000000004,2658.2917,-0.013727500258906889
2043,2018-06-01,2607.4,-39.78670000000011,2647.1867,-0.015029805037929552
2044,2018-06-04,2652.0,-42.577000000000226,2694.577,-0.015800995852039198
2045,2018-06-05,2663.6,-43.41679999999997,2707.0168,-0.016038614906268765
2046,2018-06-06,2655.8,-36.380699999999706,2692.1807,-0.013513468839591527
2047,2018-06-07,2665.0,-30.23739999999998,2695.2374,-0.011218826215456931
2048,2018-06-08,2616.4,-35.68229999999994,2652.0823,-0.013454446719093122
2049,2018-06-11,2636.0,-24.4083999999998,2660.4084,-0.009174681601516445
2050,2018-06-12,2664.6,-23.101799999999912,2687.7018,-0.008595373192070606
2051,2018-06-13,2644.2,-27.426500000000033,2671.6265,-0.010265843672384607
2052,2018-06-14,2653.8,-17.497499999999945,2671.2975,-0.006550187689690102
2053,2018-06-15,2639.0,-28.97510000000011,2667.9751,-0.010860333741495604
2054,2018-06-19,2543.6,-56.18010000000004,2599.7801,-0.02160955843919262
2055,2018-06-20,2569.2,-29.128000000000156,2598.328,-0.011210285999304228
2056,2018-06-21,2550.4,-28.65169999999989,2579.0517,-0.011109393425498175
2057,2018-06-22,2553.8,-29.9079999999999,2583.708,-0.011575611485508387
2058,2018-06-25,2493.2,-43.259900000000016,2536.4599,-0.017055227248023917
2059,2018-06-26,2471.0,-35.7166000000002,2506.7166,-0.014248359786662838
2060,2018-06-27,2406.4,-46.23860000000013,2452.6386,-0.018852594100084753
2061,2018-06-28,2395.4,-29.77579999999989,2425.1758,-0.012277790335859318
2062,2018-06-29,2450.8,-29.111499999999978,2479.9115,-0.011738926973805306
2063,2018-07-02,2332.6,-53.77649999999994,2386.3765,-0.02253479281245015
2064,2018-07-03,2352.0,-36.97629999999981,2388.9763,-0.015477884816186671
2065,2018-07-04,2334.0,-34.42509999999993,2368.4251,-0.014535017383492487
2066,2018-07-05,2330.2,-44.15530000000035,2374.3553,-0.018596753400807516
2067,2018-07-06,2373.8,-28.817000000000007,2402.617,-0.011994004870522436
2068,2018-07-09,2449.6,-21.685100000000148,2471.2851,-0.008774827315553412
2069,2018-07-10,2442.4,-28.829899999999725,2471.2299,-0.011666215271998662
2070,2018-07-11,2403.2,-29.078500000000076,2432.2785,-0.011955251012579389
2071,2018-07-12,2455.6,-19.02469999999994,2474.6247,-0.0076879132419554125
2072,2018-07-13,2456.0,-20.864199999999983,2476.8642,-0.008423635013982592
2073,2018-07-16,2436.2,-12.565000000000055,2448.765,-0.005131157951048817
2074,2018-07-17,2426.2,-4.244500000000244,2430.4445,-0.0017463883664079734
2075,2018-07-18,2414.0,-6.759100000000217,2420.7591,-0.0027921406966931227
2076,2018-07-19,2430.0,3.837199999999939,2426.1628,0.0015815921338831586
2077,2018-07-20,2499.4,5.635000000000218,2493.765,0.0022596355310144376
2078,2018-07-23,2521.8,-5.012699999999768,2526.8127,-0.0019838035482407416
2079,2018-07-24,2559.6,-3.9835000000002765,2563.5835,-0.001553879559608757
2080,2018-07-25,2555.8,-7.8870999999999185,2563.6871,-0.0030764674831027226
2081,2018-07-26,2523.0,-7.9913000000001375,2530.9913,-0.0031573794821025806
2082,2018-07-27,2532.6,7.508499999999913,2525.0915,0.002973555611747104
2083,2018-07-30,2542.6,1.291899999999714,2541.3081,0.0005083602417194963
2084,2018-07-31,2547.4,2.2757000000001426,2545.1243,0.0008941410052154006
2085,2018-08-01,2486.4,-3.8453999999996995,2490.2454,-0.0015441851634379888
2086,2018-08-02,2436.2,-4.112700000000132,2440.3127,-0.0016853168038670338
2087,2018-08-03,2410.6,-2.903200000000197,2413.5032,-0.0012028987572919717
2088,2018-08-06,2407.6,1.063499999999749,2406.5365,0.0004419214086300993
2089,2018-08-07,2479.6,-0.1795999999999367,2479.7796,-7.242579138885436e-05
2090,2018-08-08,2442.6,-4.3978000000001884,2446.9978,-0.001797222702856614
2091,2018-08-09,2504.0,-0.617200000000139,2504.6172,-0.0002464248828124869
2092,2018-08-10,2502.0,-1.2058000000001812,2503.2058,-0.00048170230350224545
2093,2018-08-13,2474.0,-4.508600000000115,2478.5086,-0.001819077811551719
2094,2018-08-14,2467.8,-1.4002000000000407,2469.2002,-0.0005670662103461844
2095,2018-08-15,2402.0,-6.721900000000005,2408.7219,-0.002790650095388764
2096,2018-08-16,2405.6,0.43620000000009895,2405.1638,0.0001813597893000464
2097,2018-08-17,2371.0,-3.172900000000027,2374.1729,-0.0013364233076706533
2098,2018-08-20,2409.8,0.671100000000024,2409.1289,0.00027856541839667607
